danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre,song_name,Unnamed: 0,title
0.831,0.814,2,-7.364,1,0.42,0.0598,0.0134,0.0556,0.389,156.985,audio_features,2Vc6NJ9PW9gD9q343XFRKx,spotify:track:2Vc6NJ9PW9gD9q343XFRKx,https://api.spotify.com/v1/tracks/2Vc6NJ9PW9gD9q343XFRKx,https://api.spotify.com/v1/audio-analysis/2Vc6NJ9PW9gD9q343XFRKx,124539,4,Dark Trap,Mercury: Retrograde,,
0.719,0.493,8,-7.23,1,0.0794,0.401,0,0.118,0.124,115.08,audio_features,7pgJBLVz5VmnL7uGHmRj6p,spotify:track:7pgJBLVz5VmnL7uGHmRj6p,https://api.spotify.com/v1/tracks/7pgJBLVz5VmnL7uGHmRj6p,https://api.spotify.com/v1/audio-analysis/7pgJBLVz5VmnL7uGHmRj6p,224427,4,Dark Trap,Pathology,,
0.85,0.893,5,-4.783,1,0.0623,0.0138,4.14E-06,0.372,0.0391,218.05,audio_features,0vSWgAlfpye0WCGeNmuNhy,spotify:track:0vSWgAlfpye0WCGeNmuNhy,https://api.spotify.com/v1/tracks/0vSWgAlfpye0WCGeNmuNhy,https://api.spotify.com/v1/audio-analysis/0vSWgAlfpye0WCGeNmuNhy,98821,4,Dark Trap,Symbiote,,
0.476,0.781,0,-4.71,1,0.103,0.0237,0,0.114,0.175,186.948,audio_features,0VSXnJqQkwuH2ei1nOQ1nu,spotify:track:0VSXnJqQkwuH2ei1nOQ1nu,https://api.spotify.com/v1/tracks/0VSXnJqQkwuH2ei1nOQ1nu,https://api.spotify.com/v1/audio-analysis/0VSXnJqQkwuH2ei1nOQ1nu,123661,3,Dark Trap,ProductOfDrugs (Prod. The Virus and Antidote),,
0.798,0.624,2,-7.668,1,0.293,0.217,0,0.166,0.591,147.988,audio_features,4jCeguq9rMTlbMmPHuO7S3,spotify:track:4jCeguq9rMTlbMmPHuO7S3,https://api.spotify.com/v1/tracks/4jCeguq9rMTlbMmPHuO7S3,https://api.spotify.com/v1/audio-analysis/4jCeguq9rMTlbMmPHuO7S3,123298,4,Dark Trap,Venom,,
0.721,0.568,0,-11.295,1,0.414,0.0452,0.212,0.128,0.109,144.915,audio_features,6fsypiJHyWmeINsOLC1cos,spotify:track:6fsypiJHyWmeINsOLC1cos,https://api.spotify.com/v1/tracks/6fsypiJHyWmeINsOLC1cos,https://api.spotify.com/v1/audio-analysis/6fsypiJHyWmeINsOLC1cos,112511,4,Dark Trap,Gatteka,,
0.718,0.668,8,-4.162,1,0.137,0.0254,0.0078,0.124,0.038,130.826,audio_features,0XfQbq7DaMOmVXgQ71eA6E,spotify:track:0XfQbq7DaMOmVXgQ71eA6E,https://api.spotify.com/v1/tracks/0XfQbq7DaMOmVXgQ71eA6E,https://api.spotify.com/v1/audio-analysis/0XfQbq7DaMOmVXgQ71eA6E,77584,4,Dark Trap,kamikaze (+ pulse),,
0.694,0.711,8,-5.525,1,0.221,0.0397,0,0.112,0.283,138.049,audio_features,0LLeuNBWPOg3XA73yab3PT,spotify:track:0LLeuNBWPOg3XA73yab3PT,https://api.spotify.com/v1/tracks/0LLeuNBWPOg3XA73yab3PT,https://api.spotify.com/v1/audio-analysis/0LLeuNBWPOg3XA73yab3PT,127524,3,Dark Trap,T.R.U. (Totally Rotten Underground),,
0.774,0.751,1,-2.445,1,0.198,0.0614,0,0.0728,0.189,219.96,audio_features,37gqBnUAZe8BY8WR56kDNk,spotify:track:37gqBnUAZe8BY8WR56kDNk,https://api.spotify.com/v1/tracks/37gqBnUAZe8BY8WR56kDNk,https://api.spotify.com/v1/audio-analysis/37gqBnUAZe8BY8WR56kDNk,140326,4,Dark Trap,I Put My Dick in Your Mental,,
0.893,0.907,11,-10.406,1,0.367,0.152,0.0311,0.558,0.302,199.942,audio_features,2ggqfj97qyiORmXoVFzP5j,spotify:track:2ggqfj97qyiORmXoVFzP5j,https://api.spotify.com/v1/tracks/2ggqfj97qyiORmXoVFzP5j,https://api.spotify.com/v1/audio-analysis/2ggqfj97qyiORmXoVFzP5j,121979,4,Dark Trap,Andromeda,,
